"Participar do Intercom 2017"
"O servidor irá participar, como palestrante, "
"Capacitação no Curso de Gestão e Fiscalização"
"Palestrar no 17º Congresso Nacional de Previd"
"O Proposto participará da 261ª reunião da CNI"
"Realizar levantamento de material carga perma"
"Realizar avaliação na IES denominada: INSTITU"
"Participação em Seminário Nacional do Ensino "
"Participação de representação do CDES, no Enc"
"Realizar avaliação na IES denominada: INSTITU"
"Realizar avaliação na IES denominada: FACULDA"
"Reunião Técnica sobre o Panorama da Politica "
"Participação de representação do CDES, no Enc"
"Participar da 3ª Reunião Ordinária do Fórum P"
"Participar do XLV Curso Sistema Integrado de "
"Participar da 265ª Assembleia Ordinária do Co"
"Informação protegida por sigilo nos termos da"
"Apresentar 02 trabalhos no Congresso Nacional"
"Atendimento ao público na XVIII Bienal Intern"
"Participação no Curso de Oratória Master Clas"
"PARTICIPAR DO CURSO APH007, NO DTCEA-CF."
"Realizar avaliação na IES denominada UNIVERSI"
"Participar X Congresso Brasileiro de Regulaçã"
"Participar da 3ª Reunião Ordinária do Fórum P"
"Participar do ICIFMS - 18 - 18th Internationa"
"Autorizado pelo Exmo. Sr. Ministro do GSI, co"
"Participação como Membro Externo da Banca Exa"
"Participar da cerimônia Oficial de Abertura d"
"O professor participará como membro externo d"
"Ministrar Treinamento sobre Grafos de Relacio"
"PARTICIPAR DE REUNIÃO DE TRABALHO DE COORDENA"
"Participar de Reunião Ampliada do DSEI Cuiabá"
"Realizar avaliação na IES denominada FACULDAD"
"Realizar auditoria direta no Regime Próprio d"
"Participar do Treinamento sobre  Grafos de Re"
"Participação como membro palestrante no XII E"
"Reunião regional de coordenadores polo UAB re"
"Participação em reunião de autoridades eleito"
"Fiscalização - Inspeção Periódica Inspeção Pe"
"Participar de evento do FORGEPE."
"Fiscalização - Inspeção Periódica Inspeção Pe"
"Participação nas Oficinas Regionais sobre Gru"
"Participar do X Congresso Brasileiro de Regul"
"O XXXVII ENDP é promovido pela Comissão Nacio"
"Realizar coleta dos dados biométricos para co"
"Realizar coleta dos dados biométricos para co"
"Participar dos trabalhos de Auditoria Ordinár"
"Grupo de trabalho de revisão e atualização do"
"Apresentação de trabalho no INTERCOM."
"Fiscalização - Inspeção Periódica Inspeção Pe"
"Participar do II Encontro Nacional de Coorden"
"Realizar Vistoria aérea e terrestre nas faixa"
"Por ter que fazer Vistoria de Segurança Opera"
"Participar do curso \"\"Conformidade contábil, "
"Realizar avaliação na IES denominada: Faculda"
"O seminárionacional proporcionará uma análise"
"Participar do curso \"\"Conformidade contábil, "
"Participação no XXXVI Encontro de Dirigentes "
"Realizar avaliação na IES denominada: Faculda"
"A servidora participará de reuniões com autor"
"Remoção conforme DET 237, de 25/7/17. DOU nº1"
"MINISTRA PALESTRA NO VI ENCONTRO DE PLANTAS M"
"Participar como membro avaliador externo da b"
"Acompanhar a Presidente do Ibama em vistoria "
"Ministrar o Curso \"\"Registro Acadêmico\", em B"
"PARTICIPAR DA REUNIÃO TRIMESTRAL DO CNAS COM "
"Participar da XIV SEMANA DE ADMINISTRAÇÃO ORÇ"
"Participar, como membro da Comissão Própria d"
"De acordo com a solicitação recebida, em anex"
"Participação da Proponente no XVI Congresso I"
"Participar da assinatura do termo para a cons"
"PARTICIPAÇÃO DE CURSO DE CAPACITAÇÃO: PLANEJA"
"Visita in loco ao abrigo de Boa Vista e Pacar"
"Visita in loco para verificar as condições pa"
"Participar da Reunião Prévia sobre a 297ª Reu"
"Participar do Pedido de Cooperação de Instruç"
"PARTICIPAR DE REUNIÃO TÉCNICA COM AS GERÊNCIA"
"PARTICIPAR DA REUNIÃO TRIMESTRAL DO CNAS COM "
"Realizar Vistoria aérea e terrestre nas faixa"
"TREINAMENTO EM MANEJO CLÍNICO DA TUBERCULOSE "
"Realizar avaliação na IES denominada: FACULDA"
"Para ministrar a disciplina Organização do Tr"
"Supervisão dos trabalhos das Comissões de Pro"
"Participar da XIV Semana de Administração Orç"
"Fiscalização da execução física do Convênio n"
"Participar do IV Encontro Nacional de Coorden"
"Participar do curso de elaboração de Projetos"
"Reunião do comitê de acompanhamento do Grupo "
"Por ter que representar o DECEA na 1ª AEROFAU"
"Realizar capacitação para utilização do Siste"
"O Proposto é representante da equipe CGSNAEB "
"Participação no  Treinamento sobre  Grafos de"
"Realizar capacitação para utilização do Siste"
"Participação no  Treinamento sobre  Grafos de"
"PARTICIPAR DE REUNIÃO TÉCNICA COM AS GERÊNCIA"
"Viagem para participar do Fórum Intereconselh"
"Viagem para participar do Fórum Intereconselh"
"PARTICIPAR DE REUNIÃO TÉCNICA COM AS GERÊNCIA"
"Participar da 205ª Reunião Ordinária da Comis"
"PARTICIPAR DE REUNIÃO TÉCNICA COM AS GERÊNCIA"
"REUNIÕES COM AS GERÊNCIAS - GMA-2 E GMN -"
"Realizar Avaliação na IES denominada: FACULDA"
"Participar da 14ª Semana de Administração Fin"
"Realizar Avaliação na IES denominada: FACULDA"
"Participar do evento inaugural do Grupo de Es"
"Realizar Avaliação na IES denominada: FACULDA"
"Informação protegida por sigilo nos termos da"
"PARTICIPAR DA VALIDAÇÃO CURRICULAR E SIMPÓSIO"
"Informação protegida por sigilo nos termos da"
"Evento de capacitação \"\"II Curso sobre Contra"
"Evento de capacitação \"\"II Curso sobre Contra"
"Participar como palestrante no Curso Primeira"
"Participar da 91ª Reunião da Câmara de Saúde "
"Realizar avaliação na IES denominada: FAM FAC"
"Realizar avaliação na IES denominada: FAM FAC"
"Realizar avaliação na IES denominada: FAM FAC"
"Participar do Encontro Nacional dos Núcleos d"
"A colaboradora irá ministrar treinamento do K"
"Reunião para especificar novas funcionalidade"
"PARTICIPAR DA REUNIÃO SOBRE A IMPLEMENTAÇÃO D"
"Participar do Seminário Nacional do Ensino Mé"
"Informação protegida por sigilo nos termos da"
"Ministrar palestra no I Workshop para os disc"
"Coleta de depoimento para instrução do Inquér"
"Realizar avaliação na IES denominada: FACULDA"
"Informação protegida por sigilo nos termos da"
"Proferir palestra no evento: Formação em Fina"
"[[01450/2017/SPO]] @ Atividade 1 # Tipo de At"
"Participar da Reunião Conjunta da Comissão In"
"[[01450/2017/SPO]] @ Atividade 1 # Tipo de At"
"Participar juntamente com a PRÓ-Reitoria de g"
"Participar da Reunião Conjunta da Comissão In"
"O Encontro Nacional de Dirigentes de Pessoal "
"BUSCAR A AERONAVE C-98 GRAN CARAVAN"
"PARTICIPAR DO VII FÓRUM DE PESQUISA E INOVAÇÃ"
"Participar do VIII Seminário de proteção à pr"
"TERCEIRA REUNIÃO DO COMITE NOTARIAL E REGISTR"
"Participação em Banca de Exame de Qualificaçã"
"Pesquisar, selecionar e recolher materiais vi"
"Participar de visita técnica a empresa Blaver"
"A servidora irá se deslocar dia 04/09 de Bras"
"Participar da Reunião da Câmara Técnica de Ed"
"Pesquisar, selecionar e recolher materiais vi"
"O proposto participará do curso Folha de Paga"
"Capacitação em PROEJA concomitante ao SEPEI"
"Participar da reunião do Grupo Técnico de Dem"
"CONSULTA MÉDICA, CONFORME OS ITENS 5.6.1 DA I"
"Dar continuidade aos trabalhos de especificaç"
"O objetivo da viagem é dar continuidade aos t"
"Participar do XIX Encontro da Rede de Estudos"
"SAR - Treinamento,   \"\"Workshop sobre Acordo "
"Encontro presencial, com tutoria para o curso"
"Realizar avaliação na IES denominada: UNIVERS"
"Nivelamento para avaliação de projetos de ref"
"Participar do Encontro de Coordenadores de Po"
"PARTICIPAR COMO ALUNO DO CURSO PAEAT NAV033 -"
"Participar de reunião para discutir cooperaçã"
"Participar da reunião entre MDIC, CADE e INPI"
"Realizar avaliação na IES denominada FACULDAD"
"Remoção, conforme BS 138"
"Participar da sessão de julgamento da 1ª Turm"
"O colaborador eventual vai participar da 3ª R"
"Participar da 180ª Reunião da Comissão Inters"
"Participar da Sessão de julgamento da 1ª Turm"
"Representar o Conade no stand da SNDPD, na Ex"
"Informação protegida por sigilo nos termos da"
"Acompanhar o Presidente do Conade, Sr Moisés "
"Acompanhar a Presidente do Ibama em reunião/A"
"Acompanhar a Dra. Suely Araújo - Presidente d"
"Participar da 5a. Reunião do GT Aprimoramento"
"Participação do XXXVII ENDP - Encontro Nacion"
"Atender a(s) O. S. n° 26716, na(s) qual(ais) "
"O MILITAR PARTICIPARÁ COMO ALUNO DO CURSO DE "
"Participar da Oficina da COFIN, \"\"O Financiam"
"PARTICIPAR DO GRUPO DE TRABALHO DO CURSO SEL "
"Reunião para Avaliação da Estratégia de Capac"
"Reunião da Comissão intersetorial de Alimenta"
"Reunião da Comissão intersetorial de Alimenta"
"REUNIÃO TÉCNICA E VISITA À OBRA DO CANAL DE N"
"Deslocamento à Brasília , COREP, para que jun"
"Dar sequencia as atividades do GEIT na Superi"
"O colaborador proferirá palestra sobre Blockc"
"O Proposto foi convidado a ministrar palestra"
"Participar do Seminário Jurídico da 14ª Rodad"
"Visitar a Cidade Universitária Dom Delgado e "
"Informação protegida por sigilo nos termos da"
"O servidor participará do 4º Forum Arteris de"
"Viagem para participar, do Congresso Brasilei"
"PARTICIPAR DO CURSO DE COMUNICAÇÃO SOCIAL."
"Participará da Sessão Especial sobre Ensino S"
"O Sr. Secretário de Educação Básica - Rossiel"
"Trata- se agenda solicitada pelo equipe do FI"
"SERVIDORA TEM PARTICIPAÇÃO NO PRÉ-CONGRESSO. "
"Adolescente - Apresentação na Banca de Defesa"
"1º Encontro do  Grupo de Trabalho para estudo"
"Participar da Reunião do Comitê de Busca para"
"Participar da capacitação nacional de Regular"
"Visita às Regionais da Paraíba, Pernambuco e "
"O servidor participará do Curso de Atualizaçã"
"O servidor participará do 26° Congresso Panam"
"Realizar avaliação na IES denominada: FACULDA"
"Realizar avaliação na IES denominada: FACULDA"
"CAPACITAÇÃO EM SERVIÇO Atender a(s) O. S. n° "
"Segunda Supervisão Integrada na Superintendên"
"Acompanhamento do treinamento ACS e ACR do Ce"
"Participação do Treinamento da POF - 2ª Etapa"
"CENTRO DE CUSTO: Gerir diárias e passagens - "
"Participação como membro da Diretoria da Asso"
"Acompanhar o treinamento dos ACR e ACS na sub"
"Participar do Congresso Brasileiro de Agroeco"
"Informação protegida por sigilo nos termos da"
"Informação protegida por sigilo nos termos da"
"Informação protegida por sigilo nos termos da"
"Realizar avaliação na IES denominada: UNIVERS"
"Participar de mutirão Interno de Portaria 80 "
"Informação protegida por sigilo nos termos da"
"Reunião com Direps 1ª, 9ª e 10ª RF Reunião da"
"ADV 0102/2017 DIRAB. Atuar como assistente té"
"Participar da Oficina de apoio aos Municípios"
"PARTICIPAR COMO ALUNO DO CURSO OPM001 ( TEÓRI"
"Será palestrante no evento talk show Inovaçõe"
"PARTICIPAR DO CURSO TOP014 - SUPERVISÃO TÉCNI"
"PARTICIPAR DO CURSO TOP014 - SUPERVISÃO TÉCNI"
"Participar do Congresso Brasileiro de Agroeco"
"VOT no CMO em Prol do Projeto SISFRON"
"Reunião com Direps 1ª, 9ª e 10ª RF Reunião da"
"12/09  e 13/09/2017- Reunião no Centro Region"
"SEMINÁRIO DE PLANEJAMENTO DA ÁREA DE CIÊNCIAS"
"Reunião com as associações relacionadas à nav"
"SEGURANÇA VIÁRIA"
"Participar da 3ª Reunião plenária dos membros"
"Acompanhante de paciente após procedimento ci"
"Fiscalização de Granjas GRSC e meta 2.16 do C"
"Participa de reunião com Oscar Motomura- Aman"
"ALTA HOSPITALAR, ACOMPANHADA DA SRA. MIRIA NA"
"Alta hospitalar após procedimento cirúrgico n"
"Viagem para  participar  das Reuniões da Cãma"
"ALTA HOSPITALAR, ACOMPANHANTE DA SRA. VILMA B"
"PARTICIPAR DA REUNIÃO DA REVISÃO DO PLANO NAC"
"Participar de Worshop Nacional de Cobrança Es"
"Participar do SEMINÁRIO AVANÇADO DE LICITAÇÕE"
"Workshop Nacional de Cobrança Especial Aprese"
"O proposto irá apresentar trabalho que será p"
"Fiscalização dos convênios do PNAEST nº 76023"
"Reunião de alinhamento geral com a Concession"
"Workshop Nacional de Cobrança Especial Aprese"
"Reunião de alinhamento geral com a Concession"
"Para participar da Cerimônia de abertura do V"
"Informação protegida por sigilo nos termos da"
"Apresentação das iniciativas de cobrança impl"
"REALIZAR INSPEÇÃO SANITÁRIA INTERNACIONAL PAR"
"Participar de reunião dos Reitores das IFES m"
"De acordo com a solicitação recebida, em anex"
"Visita in loco ao abrigo de Boa Vista e Pacar"
"Participar do Programa Mais Médicos, instituí"
"Participar da Viagem de Estudos do Curso de E"
"Participação no Curso de Formação de Gestores"
"Realizar avaliação na IES denominada: CENTRO "
"Realizar avaliação na IES denominada: CENTRO "
"Participação em reunião com diretoria do Sind"
"Visita técnica à CHESF."
"Tratar do  crédito de  Instalação  com o chef"
"Participação de Conselheira(o) da sociedade c"
"Informação protegida por sigilo nos termos da"
"REUNIÃO COM A PREFEITURA DE BENJAMIN CONSTANT"
"De acordo com a solicitação recebida, em anex"
"Reunião Semestral - Membro  da Comissão  de A"
"Participar da reunião de discussão dos Termos"
"Realizar Avaliação na IES denominada: FACULDA"
"Participar da inauguração \"\" Caixa d'água no "
"A senhora Mírian participará da 17a reunião d"
"Curso de Análise Econômica do Direito - Módul"
"Participar do Dia de Campo Rural Sustentável."
"Mutirão Interno de Regularização Fundiária- A"
"Mutirão Interno de Regularização Fundiária-  "
"Prestar apoio quanto aos cadastros cartográfi"
"O proposto foi indicado a participar da reuni"
"Realizar avaliação na IES denominada: FACULDA"
"Mutirão Interno de Regularização Fundiária- A"
"Participar da Reunião de Operadores das aeron"
"Participar e apresentar trabalho no I COPRESI"
"Prestar apoio quanto aos cadastros cartográfi"
"Mutirão Interno de Regularização Fundiária- A"
"Realizar avaliação na IES denominada: UNIVERS"
"Realizar avaliação na IES denominada: FACULDA"
"Mutirão Interno de Regularização Fundiária- A"
"Participar da Reunião de Operadores das aeron"
"Realizar avaliação na IES denominada: UNIVERS"
"MEMBRO TITULAR DA BANCA DE DOUTORADO DA ALUNA"
"Participar da primeira reunião ordinária inic"
"Prestar apoio quanto aos cadastros cartográfi"
"O proposto é acompanhante da paciente Elisand"
"O servidor irá participar de Reunião no IPEN "
"Prestar apoio quanto aos cadastros cartográfi"
"Reunião com a Direção e Presidência da EBSERH"
"Prestar apoio quanto a pesquisa no SNCR no es"
"Participar de Seminário sobre Prevenção de Qu"
"Entrega da obra emergencial do museu."
"Reunião com a Direção e Presidência da EBSERH"
"O colaborador vai participar da 3ª Reunião da"
"Participar do COBENGE 2017 - XLV Congresso Br"
"Ministrar instrução de cenários de combate no"
"MINISTRAR INSTRUÇÃO DE MECÂNICA DE VOO NO CUR"
"Participação da servidora Alda Regina Brazão "
"[[01507/2017/SPO]] @ Atividade 1 # Tipo de At"
"Ministrar palestra para o CCEM/2017 e para o "
"Participação em mesa redonda no Seminário \"\"C"
"Participação da servidora Maria de Fátima Fer"
"Participar de visita técnica com representant"
"Participação do VII SIC - Simpósio Internacio"
"Realizar vistoria de acompanhamento do início"
"PARTICIPAR DE REUNIÃO DA COMISSÃO DE ORÇAMENT"
"PARTICIPAR DA REUNIÃO DA COMISSÃO INTERSETORI"
"Realizar vistoria de acompanhamento do início"
"Informação protegida por sigilo nos termos da"
"Realizar vistoria de acompanhamento do início"
"Informação protegida por sigilo nos termos da"
"Informação protegida por sigilo nos termos da"
"Informação protegida por sigilo nos termos da"
"Participar da preparação de APCN entre UFAM, "
"Trata-se de 2 dias de reuniões referentes a r"
"Participar do Programa Mais Médicos, instituí"
"Realizar avaliação na IES denominada: FACULDA"
"Com a finalidade de acompanhar este President"
"Realizar avaliação na IES denominada: FACULDA"
"Participar do Programa Mais Médicos, instituí"
"Participar de uma reunião na DPDAG/MG no dia "
"O servidor participará da 2ª edição do Seminá"
"Participar da 3ª Sessão de julgamento (3ª Câm"
"Participar de eventos em São Paulo."
"Participar como avaliador externo de banca de"
"Realizar em conjunto com a DILIC visita técni"
"O presidente Erivaldo Oliveira da Silva parti"
"Acompanhar a Presidente na realização de visi"
"Realizar avaliação na IES denominada: CENTRO "
"Realizar avaliação na IES denominada: CENTRO "
"O Diretor-Geral recebeu convite para particip"
"Participar do curso de Aposentadoria Especial"
"Apresentação da peça teatral \"\" A Repartição\""
"Apresentação da peça teatral \"\" A Repartição\""
"Apresentação da peça teatral \"\" A Repartição\""
"Informação protegida por sigilo nos termos da"
"Realizar em conjunto com a Presidência do Iba"
"Informação protegida por sigilo nos termos da"
"Reunião de Abertura Intersetorial com gestore"
"Centro de Custos 80101 - Reunião de Trabalho "
"Participar do Programa Mais Médicos, instituí"
"O proposto compõe a equipe da CGEC/DAEB, e fo"
"Ministrar a aula magna de abertura do Curso d"
"Dar continuidade a análise de Processos de de"
"Informação protegida por sigilo nos termos da"
"Reunião técnica do Comitê Científico Consulti"
"Participar da 3ª Reunião Ordinária do CONDISI"
"O convidado vai participar da 3ª Reunião da P"
"Supervisionar a capacitação dos coordenadores"
"Apresentação da Peça \"\"A Repartição\"\" - Proje"
"Participar do evento de posse do novo Superin"
"Realizar avaliação na IES denominada: UNIVERS"
"O servidor participará do Seminário Regional "
"Realizar avaliação na IES denominada: FACULDA"
"A colaboradora vai participar da 3ª Reunião d"
"Realizar avaliação na IES denominada: FACULDA"
"Ministrar atividades no I Encontro de Gestore"
"Viagem a Brasília e Uberlândia para tratar de"
"Participar do 3º Módulo do Curso de Formação "
"Participar de reunião conforme consta da Os.I"
"REUNIÃO DE COORDENAÇÃO DA ATIVIDADE DE COMBAT"
"06/07/1978- Seminário Internacional sobre o E"
"O SERVIDOR ESTARA RETORNANDO NEIVA"
"Participação como palestrante no \"\"I Seminári"
"Informação protegida por sigilo nos termos da"
"Oficina Regional de ABEPSS (Associação Brasil"
"Realização da fase presencial do Curso Avança"
"Participar da 45º Edição da ABAV Expo Interna"
"Participar da Inauguração da ETA de Capivari "
"Informação protegida por sigilo nos termos da"
"Curso de Pós Graduação Especialização em Gest"
"Mesa-redonda dia 29/09 às 10:30, Ensino de Tr"
"Acompanhar e assessorar o senhor ministro das"
"Acompanhar o Exmo. Ministro das Cidades e rea"
"Curso de Pós Graduação Especialização em Gest"
"Viagem presidencial: acompanhar, na qualidade"
"Assinatura do Acordo de Cooperação Técnica en"
"Participar do Encontro de Agentes de Curadori"
"Participar de reunião GT-Febraban, no dia 13 "
"Participar do -Seminar on Recovery and Resolu"
"Participar da reunião do Comef."
"Curso Técnico de Atualização de Gerentes Técn"
"Participar, como painelista, do 7º Congresso "
"Participar do Central Bank-s Big Data Interna"
"Realizar novas reuniões com componentes da DI"
