Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13396310,Aéreo,Brasil,Paraná,Curitiba,Brasil,São Paulo,Presidente Prudente,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,529,0
13396332,Aéreo,Brasil,Paraná,Curitiba,Brasil,Rio Grande do Sul,Porto Alegre,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,134,0
13397187,Aéreo,Chipre,,Larnaca,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,0,0
13399127,Aéreo,Brasil,São Paulo,Campinas,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1013,0
13424462,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,680,0
13424841,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,445,0
13424886,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,570,0
13425854,Aéreo,Brasil,Rio Grande do Norte,Natal,Brasil,Piauí,Teresina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1278,0
13426949,Aéreo,Estados Unidos da América,,Baltimore - Maryland,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2770,0
13427462,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,300,0
